[Sys Thread: 1] INFO | 11-12-2025 13:02:18.719 | DBLOGGER Initiated
[System: 192.168.1.99] INFO | 11-12-2025 13:02:21.656 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.99] INFO | 11-12-2025 13:02:21.703 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.99] INFO | 11-12-2025 13:02:21.844 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.99] INFO | 11-12-2025 13:02:21.859 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.99] INFO | 11-12-2025 13:02:49.993 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.99] INFO | 11-12-2025 13:02:50.009 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.99] INFO | 11-12-2025 13:02:50.024 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.99] INFO | 11-12-2025 13:02:50.024 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.99] INFO | 11-12-2025 13:04:10.206 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.99] INFO | 11-12-2025 13:04:10.222 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.99] INFO | 11-12-2025 13:04:10.253 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.99] INFO | 11-12-2025 13:04:10.268 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
