[System: 192.168.1.77] ERROR | 07-28-2025 13:31:06.710 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:06.804 | Common controller:: Inside BulkEditDetals
[System: 192.168.1.77] INFO | 07-28-2025 13:31:06.804 | Common controller::Exiting BulkEditDetals
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:06.804 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:06.820 | Common controller:: Inside BulkEditDetals
[System: 192.168.1.77] INFO | 07-28-2025 13:31:06.835 | Common controller::Exiting BulkEditDetals
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:06.835 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:06.851 | Common:: GetDataSet START
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:06.882 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:15.178 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:15.178 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:15.193 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:15.240 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:17.884 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:18.244 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:21.212 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:21.212 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:21.212 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:21.259 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:21.962 | Common:: GetDataSet START
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:21.994 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:35.213 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:35.213 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:35.213 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:35.260 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:37.413 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:37.413 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:37.413 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:37.507 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:39.616 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:39.678 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:39.709 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.725 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.725 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.741 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.772 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:39.772 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:39.787 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.803 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.803 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.803 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.819 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:39.819 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:31:39.850 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.866 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.866 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.866 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:31:39.881 | Administration:: Exiting GetCostCenterListViewData
