[Sys Thread: 1] INFO | 10-06-2025 15:52:48.806 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 10-06-2025 15:52:48.806 | Installed Printers Count :3
[Sys Thread: 1] INFO | 10-06-2025 15:52:48.822 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 10-06-2025 15:52:48.822 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.181] ERROR | 10-06-2025 15:52:49.384 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.181] INFO | 10-06-2025 15:57:12.081 | Common:: DecodeBase64 START
[System: 192.168.1.181] INFO | 10-06-2025 15:57:12.081 | Common:: deCodeLevel1 START
[System: 192.168.1.181] INFO | 10-06-2025 15:57:12.081 | Common:: DecodeBase64 START
[System: 192.168.1.181] ERROR | 10-06-2025 15:57:12.237 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.181] ERROR | 10-06-2025 15:57:46.640 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.181] INFO | 10-06-2025 15:57:46.656 | Common:: DecodeBase64 START
[System: 192.168.1.181] INFO | 10-06-2025 15:57:46.656 | Common:: deCodeLevel1 START
[System: 192.168.1.181] INFO | 10-06-2025 15:57:46.656 | Common:: DecodeBase64 START
[System: 192.168.1.181] ERROR | 10-06-2025 15:57:46.671 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.181] ERROR | 10-06-2025 15:57:46.765 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.296 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.296 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.296 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.296 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.312 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.374 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.374 | isValidUser:: True
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.374 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.421 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.421 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.421 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.421 | isValidUser:: True
[System: 192.168.1.99] INFO | 10-06-2025 15:58:12.421 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.291 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.291 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.291 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.291 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.291 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.385 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.447 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.447 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.447 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.447 | isValidUser:: True
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.447 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:20.525 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.541 | Administration:: Entering InitLoginSession
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.556 | Administration:: Entering AllowSession  1
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.556 | Administration:: Entering AllowSession  end
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:20.556 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:20.697 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:20.713 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.713 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:20.713 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-06-2025 15:58:20.947 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:20.947 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:21.197 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:21.228 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:21.259 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-06-2025 15:58:21.275 | Administration:: Entering GetUserDetails
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:21.322 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-06-2025 15:58:21.338 | Administration:: Exiting GetUserDetails
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:21.338 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-06-2025 15:58:21.400 | Administration:: Entering GetUserDetails
[System: 192.168.1.99] INFO | 10-06-2025 15:58:21.431 | Administration:: Exiting GetUserDetails
[System: 192.168.1.99] ERROR | 10-06-2025 15:58:21.447 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-06-2025 15:58:21.634 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:21.634 | ReportLayout:: GetDataSet START
[System: 192.168.1.99] INFO | 10-06-2025 15:58:21.666 | ReportLayout:: GetDataSet END
