[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.177 | GetScreenInfo:: GetScreenInfo
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.192 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.239 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:36.255 | Cases:: Inside GetActivitiesCustomFields
[System: 192.168.1.59] INFO | 11-11-2025 13:31:36.270 | Cases:: Success: DBH.GetActivitiesCustomFields 
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.270 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:36.286 | ReportLayout:: GetDataSet START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:36.286 | ReportLayout:: GetDataSet END
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.286 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.302 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:36.317 | ReportLayout:: GetDataSet START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:36.317 | ReportLayout:: GetDataSet END
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.333 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.348 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.364 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.395 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.411 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.427 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.786 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.801 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.864 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.880 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.895 | GetScreenInfo:: GetScreenInfo
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.895 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:36.911 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:36.926 | Administration:: Inside getRoles
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.192 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.489 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.504 | Common:: GetDataSet START
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.504 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.536 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.536 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.536 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.536 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.536 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.567 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.567 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.567 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.583 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.583 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.598 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.598 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.598 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.598 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.614 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.629 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.629 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.629 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.629 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.629 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.661 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.661 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.661 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.661 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.676 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.817 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.832 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.832 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.832 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.832 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.660 | Common:: IsBase64 Checking START
