[System: 192.168.1.120] ERROR | 07/01/2026 16:10:27.246 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:10:29.915 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/01/2026 16:10:30.322 | Common:: DecodeBase64 START
[System: 192.168.1.120] ERROR | 07/01/2026 16:10:30.337 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:10:30.369 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/01/2026 16:10:30.369 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:10:30.369 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.120] INFO | 07/01/2026 16:10:30.384 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.120] ERROR | 07/01/2026 16:10:30.384 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:10:34.645 | Common:: IsBase64 Checking START
[System: 192.168.1.99] ERROR | 07/01/2026 16:10:34.645 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:10:43.490 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:10:43.490 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:10:43.490 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:10:43.537 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:10:48.526 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:10:48.526 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:10:48.526 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:10:48.557 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:10:48.557 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:10:48.557 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:10:48.588 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:10:48.603 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:10:54.510 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:10:54.510 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/01/2026 16:10:54.510 | Common:: DecodeBase64 START
[System: 192.168.1.120] ERROR | 07/01/2026 16:10:54.542 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:11:01.512 | Common:: IsBase64 Checking START
[System: 192.168.1.120] ERROR | 07/01/2026 16:11:01.527 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:11:03.565 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:11:13.536 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:11:13.536 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:11:13.536 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:11:13.570 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:11:23.528 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:11:23.528 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:11:23.528 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:11:23.565 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:11:34.648 | Common:: IsBase64 Checking START
