[Sys Thread: 1] INFO | 07/02/2026 14:35:09.129 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 07/02/2026 14:35:09.144 | Installed Printers Count :3
[Sys Thread: 1] INFO | 07/02/2026 14:35:09.160 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 07/02/2026 14:35:09.160 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.300 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.300 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.300 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.300 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.300 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.675 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.675 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.675 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.800 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.800 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.800 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.800 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.800 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.863 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.863 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.863 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.863 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:10.863 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 14:35:11.628 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 14:35:11.706 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:11.706 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:11.706 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 14:35:11.706 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 14:35:11.706 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:12.362 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:12.394 | Administration:: Entering InitLoginSession
[System: 192.168.1.76] INFO | 07/02/2026 14:35:12.394 | Administration:: Entering AllowSession  1
[System: 192.168.1.76] INFO | 07/02/2026 14:35:12.394 | Administration:: Entering AllowSession  end
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:12.394 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:12.456 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:12.487 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.76] INFO | 07/02/2026 14:35:12.487 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:12.503 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:12.581 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:12.612 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:13.581 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:13.596 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:13.893 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:13.924 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:14.300 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:14.331 | Administration:: Entering GetUserDetails
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:14.378 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:14.706 | Administration:: Exiting GetUserDetails
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:14.721 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:14.800 | Administration:: Entering GetUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 14:35:14.893 | Administration:: Exiting GetUserDetails
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:14.893 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:14.987 | ReportLayout:: GetDataSet START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.065 | ReportLayout:: GetDataSet END
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.065 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.128 | ReportLayout:: GetDataSet START
