[Sys Thread: 46] INFO | 07/08/2026 13:29:41.898 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 46] INFO | 07/08/2026 13:29:41.898 | Installed Printers Count :3
[Sys Thread: 46] INFO | 07/08/2026 13:29:41.898 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 46] INFO | 07/08/2026 13:29:41.898 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.79] INFO | 07/08/2026 13:29:45.397 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:29:45.397 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:29:45.397 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07/08/2026 13:29:45.569 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/08/2026 13:30:49.977 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/08/2026 13:30:49.977 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/08/2026 13:30:49.977 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/08/2026 13:30:49.977 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 07/08/2026 13:30:49.977 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 07/08/2026 13:30:50.039 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 07/08/2026 13:30:50.039 | isValidUser:: True
[System: 192.168.1.99] INFO | 07/08/2026 13:30:50.039 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 07/08/2026 13:30:50.071 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 07/08/2026 13:30:50.071 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/08/2026 13:30:50.071 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 07/08/2026 13:30:50.071 | isValidUser:: True
[System: 192.168.1.99] INFO | 07/08/2026 13:30:50.071 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.79] INFO | 07/08/2026 13:31:09.532 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:31:09.532 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:31:09.532 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07/08/2026 13:31:09.657 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:31:23.594 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:31:23.641 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
